Date,SP500,HANGSENG,KOSPI
2009-05-04,907.239990234375,16381.0498046875,1397.9200439453125
2009-05-06,919.530029296875,16834.5703125,1393.449951171875
2009-05-07,907.3900146484375,17217.890625,1401.0799560546875
2009-05-08,929.22998046875,17389.869140625,1412.1300048828125
2009-05-11,909.239990234375,17087.94921875,1415.1600341796875
2009-05-12,908.3499755859375,17153.640625,1403.510009765625
2009-05-13,883.9199829101562,17059.619140625,1414.52001953125
2009-05-14,893.0700073242188,16541.689453125,1380.949951171875
2009-05-15,882.8800048828125,16790.69921875,1391.72998046875
2009-05-18,909.7100219726562,17022.91015625,1386.6800537109375
2009-05-19,908.1300048828125,17544.029296875,1428.2099609375
2009-05-20,903.469970703125,17475.83984375,1435.699951171875
2009-05-21,888.3300170898438,17199.490234375,1421.6500244140625
2009-05-22,887.0,17062.51953125,1403.75
2009-05-26,910.3300170898438,16991.560546875,1372.0400390625
2009-05-27,893.0599975585938,17885.26953125,1362.02001953125
2009-05-29,919.1400146484375,18171.0,1395.8900146484375
2009-06-01,942.8699951171875,18888.58984375,1415.0999755859375
2009-06-02,944.739990234375,18389.080078125,1412.8499755859375
2009-06-03,931.760009765625,18576.470703125,1414.8900146484375
2009-06-04,942.4600219726562,18502.76953125,1378.1400146484375
2009-06-05,940.0900268554688,18679.529296875,1394.7099609375
2009-06-08,939.1400146484375,18253.390625,1393.300048828125
2009-06-09,942.4299926757812,18058.490234375,1371.8399658203125
2009-06-10,939.1500244140625,18785.66015625,1414.8800048828125
2009-06-11,944.8900146484375,18791.029296875,1419.3900146484375
2009-06-12,946.2100219726562,18889.6796875,1428.5899658203125
2009-06-15,923.719970703125,18498.9609375,1412.4200439453125
2009-06-16,911.969970703125,18165.5,1399.1500244140625
2009-06-17,910.7100219726562,18084.599609375,1391.1700439453125
2009-06-18,918.3699951171875,17776.66015625,1375.760009765625
2009-06-19,921.22998046875,17920.9296875,1383.3399658203125
2009-06-22,893.0399780273438,18059.55078125,1399.7099609375
2009-06-23,895.0999755859375,17538.369140625,1360.5400390625
2009-06-24,900.9400024414062,17892.150390625,1363.7900390625
2009-06-25,920.260009765625,18275.029296875,1392.72998046875
2009-06-26,918.9000244140625,18600.259765625,1394.530029296875
2009-06-29,927.22998046875,18528.509765625,1388.449951171875
2009-06-30,919.3200073242188,18378.73046875,1390.0699462890625
2009-07-02,896.4199829101562,18178.05078125,1411.47998046875
2009-07-06,898.719970703125,17979.41015625,1428.93994140625
2009-07-07,881.030029296875,17862.26953125,1434.199951171875
2009-07-08,879.5599975585938,17721.0703125,1431.02001953125
2009-07-09,882.6799926757812,17790.58984375,1430.8900146484375
2009-07-10,879.1300048828125,17708.419921875,1428.6199951171875
2009-07-13,901.0499877929688,17254.630859375,1378.1199951171875
2009-07-14,905.8400268554688,17885.73046875,1385.56005859375
2009-07-15,932.6799926757812,18258.66015625,1420.8599853515625
2009-07-16,940.739990234375,18361.869140625,1432.219970703125
2009-07-17,940.3800048828125,18805.66015625,1440.0999755859375
2009-07-20,951.1300048828125,19502.369140625,1478.510009765625
2009-07-21,954.5800170898438,19501.73046875,1488.989990234375
2009-07-22,954.0700073242188,19248.169921875,1494.0400390625
2009-07-23,976.2899780273438,19817.69921875,1496.489990234375
2009-07-24,979.260009765625,19982.7890625,1502.5899658203125
2009-07-27,982.1799926757812,20251.619140625,1524.050048828125
2009-07-28,979.6199951171875,20624.5390625,1526.030029296875
2009-07-29,975.1500244140625,20135.5,1524.3199462890625
2009-07-30,986.75,20234.080078125,1534.739990234375
2009-07-31,987.47998046875,20573.330078125,1557.2900390625
2009-08-03,1002.6300048828125,20807.259765625,1564.97998046875
2009-08-04,1005.6500244140625,20796.4296875,1566.3699951171875
2009-08-05,1002.719970703125,20494.76953125,1559.469970703125
2009-08-06,997.0800170898438,20899.240234375,1565.0400390625
2009-08-07,1010.47998046875,20375.369140625,1576.0
2009-08-10,1007.0999755859375,20929.51953125,1576.1099853515625
2009-08-11,994.3499755859375,21074.2109375,1579.2099609375
2009-08-12,1005.8099975585938,20435.240234375,1565.3499755859375
2009-08-13,1012.72998046875,20861.30078125,1564.6400146484375
2009-08-14,1004.0900268554688,20893.330078125,1591.4100341796875
2009-08-17,979.72998046875,20137.650390625,1547.06005859375
2009-08-18,989.6699829101562,20306.26953125,1550.239990234375
2009-08-19,996.4600219726562,19954.23046875,1545.9599609375
2009-08-20,1007.3699951171875,20328.859375,1576.3900146484375
2009-08-21,1026.1300048828125,20199.01953125,1580.97998046875
2009-08-24,1025.5699462890625,20535.939453125,1612.219970703125
2009-08-25,1028.0,20435.240234375,1601.3800048828125
2009-08-26,1028.1199951171875,20456.3203125,1614.1199951171875
2009-08-27,1030.97998046875,20242.75,1599.3299560546875
2009-08-28,1028.9300537109375,20098.619140625,1607.93994140625
2009-08-31,1020.6199951171875,19724.189453125,1591.8499755859375
2009-09-01,998.0399780273438,19872.30078125,1623.06005859375
2009-09-02,994.75,19522.0,1613.1600341796875
2009-09-03,1003.239990234375,19761.6796875,1613.530029296875
2009-09-04,1016.4000244140625,20318.619140625,1608.9000244140625
2009-09-08,1025.3900146484375,21069.810546875,1619.68994140625
2009-09-09,1033.3699951171875,20851.0390625,1607.77001953125
2009-09-10,1044.1400146484375,21069.560546875,1644.6800537109375
2009-09-11,1042.72998046875,21161.419921875,1651.699951171875
2009-09-14,1049.3399658203125,20932.19921875,1634.9100341796875
2009-09-15,1052.6300048828125,20866.369140625,1653.4000244140625
2009-09-16,1068.760009765625,21402.919921875,1683.3299560546875
